id,full_address,zipcode,latitude,longitude,property_type,price,amenities
3344,"9 I St NW, Washington, DC 20001, USA",20001,38.90145,-77.02679,Entire Condo,150.0,"['Hot water', 'Elevator', 'Paid parking on premises', 'Fire extinguisher', 'Smoke alarm', 'Wifi', 'Hangers', 'Essentials', 'Long term stays allowed', 'Washer', 'Host greets you', 'Books and reading material', 'TV with standard cable', 'Air conditioning', 'Breakfast', 'Shampoo', 'Kitchen', 'Exercise equipment', 'First aid kit', 'Iron', 'Heating', 'Gym', 'Dryer']"
93551,"451 S St NW, Washington, DC 20001, USA",20001,38.91433,-77.01876,Private Room In Townhouse,79.0,"['Ceiling fan', 'Hot water', 'Freezer', 'Refrigerator', 'Private living room', 'Fire extinguisher', 'Smoke alarm', 'Free street parking', 'Cooking basics', 'Hair dryer', 'Room-darkening shades', 'Hangers', 'Laundromat nearby', 'Essentials', 'Hot water kettle', 'Smart lock', 'Toaster', 'TV', 'Long term stays allowed', 'Dishes and silverware', 'Free dryer – In building', 'Dining table', 'Body soap', 'Dishwasher', 'Coffee maker', 'Shower gel', 'Lock on bedroom door', 'Books and reading material', 'Fast wifi – 452 Mbps', 'Central heating', 'Dedicated workspace', 'Bed linens', 'Private patio or balcony', 'Air conditioning', 'Carbon monoxide alarm', 'Stove', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Shampoo', 'Microwave', 'Oven', 'Bidet', 'Kitchen', 'Self check-in', 'Exterior security cameras on property', 'Outdoor dining area', 'Bathtub', 'First aid kit', 'Iron', 'Clothing storage: closet and dresser', 'Free washer – In building', 'Sun loungers', 'Portable fans', 'Indoor fireplace']"
116951,"New Jersey Av NW & Florida Av NW, Washington, DC 20001, USA",20001,38.91436,-77.0181,Private Room In Townhouse,71.0,"['Skate ramp', 'Ceiling fan', 'Hot water', 'Freezer', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Sound system with Bluetooth and aux', 'Baking sheet', 'Cooking basics', 'Shared backyard – Fully fenced', 'Hair dryer', 'Room-darkening shades', 'Hangers', 'Central air conditioning', 'Laundromat nearby', 'Essentials', 'Hot water kettle', 'BBQ grill', 'Toaster', 'Long term stays allowed', 'Dishes and silverware', 'Free dryer – In building', 'Dining table', 'Body soap', '42 inch HDTV with Roku, HBO Max, Netflix, Disney+, DVD player, Apple TV, Amazon Prime Video, Hulu', 'Dishwasher', 'Coffee maker', 'Barbecue utensils', 'Shower gel', 'Mosquito net', 'Lock on bedroom door', 'Frigidaire stainless steel electric stove', 'Books and reading material', 'Extra pillows and blankets', 'Central heating', 'Dedicated workspace', 'Lockbox', 'Bed linens', 'Hot tub', 'Carbon monoxide alarm', 'Outdoor furniture', 'Self check-in', 'Shampoo', 'Microwave', 'Fast wifi – 421 Mbps', 'Bidet', 'Kitchen', 'Shared patio or balcony', 'Exterior security cameras on property', 'Outdoor dining area', 'First aid kit', 'Iron', 'Pocket wifi', 'Free washer – In building', 'Sun loungers', 'Portable fans', 'Ethernet connection', 'Frigidaire stainless steel single oven', 'Clothing storage: wardrobe and dresser', 'Cleaning products']"
175608,"1300 7th St NW, Washington, DC 20001, USA",20001,38.90756,-77.02212,Entire Rental Unit,72.0,"['Ceiling fan', 'Hot water', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Cooking basics', 'Wifi', 'Hangers', 'Essentials', 'Long term stays allowed', 'Washer', 'Dishes and silverware', 'Body soap', 'Coffee maker', 'Shower gel', 'Bed linens', 'Air conditioning', 'Carbon monoxide alarm', 'Stove', 'Self check-in', 'Microwave', 'Oven', 'Kitchen', 'Bathtub', 'Iron', 'Heating', 'Portable fans', 'Lockbox', 'Cleaning products']"
290001,"999 P St NW, Washington, DC 20001, USA",20001,38.91001,-77.02563,Entire Townhouse,201.0,"['Ceiling fan', 'Hot water', 'Freezer', 'Refrigerator', 'Backyard', 'Fire extinguisher', 'Smoke alarm', 'Baking sheet', 'Free street parking', 'Cooking basics', 'Hair dryer', 'Hangers', 'Essentials', 'Hot water kettle', 'Toaster', 'Dishes and silverware', 'Fast wifi – 113 Mbps', 'Free washer – In unit', 'Body soap', 'Dining table', 'Host greets you', 'Dishwasher', 'Coffee maker', 'Barbecue utensils', 'Luggage dropoff allowed', 'Shower gel', 'Books and reading material', 'Extra pillows and blankets', 'Central heating', 'Dedicated workspace', 'Free dryer – In unit', 'Bed linens', 'Private patio or balcony', 'Clothing storage', 'Air conditioning', 'Carbon monoxide alarm', 'Stove', 'Outdoor furniture', 'Shampoo', 'Microwave', 'Oven', 'Kitchen', 'Wine glasses', 'Private entrance', 'Outdoor dining area', 'Paid parking garage off premises', 'Iron', 'Coffee', 'Conditioner', 'Cleaning products']"
501809,"1810 New Jersey Ave NW, Washington, DC 20001, USA",20001,38.91454,-77.01814,Private Room In Townhouse,68.0,"['Ceiling fan', 'Hot water', 'Freezer', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Cooking basics', 'Shared backyard – Fully fenced', 'Hair dryer', 'Hangers', 'Central air conditioning', 'Essentials', 'Hot water kettle', 'Smart lock', 'Toaster', 'Long term stays allowed', 'Dishes and silverware', 'Free dryer – In building', 'Dining table', 'Body soap', 'Dishwasher', 'Coffee maker', 'Shower gel', 'Lock on bedroom door', 'Books and reading material', 'Fast wifi – 259 Mbps', 'Central heating', 'Dedicated workspace', 'Bed linens', '48 inch HDTV with Amazon Prime Video, Disney+, DVD player, Apple TV, Hulu, Netflix, HBO Max', 'Carbon monoxide alarm', 'Frigidaire electric stove', 'Outdoor furniture', 'Self check-in', 'Shampoo', 'Microwave', 'Oven', 'Bidet', 'Kitchen', 'Shared patio or balcony', 'Exterior security cameras on property', 'Outdoor dining area', 'Bathtub', 'First aid kit', 'Iron', 'Clothing storage: closet and dresser', 'Free washer – In building', 'Sun loungers', 'Portable fans']"
860776,"211 Elm St NW, Washington, DC 20001, USA",20001,38.91785,-77.01498,Private Room In Condo,35.0,"['Hot water', 'Refrigerator', 'Smoke alarm', 'Cooking basics', 'Wifi', 'Hangers', 'Central air conditioning', 'Essentials', 'Long term stays allowed', 'Dishes and silverware', 'Host greets you', 'Lock on bedroom door', 'Central heating', 'Dedicated workspace', 'Bed linens', 'Induction stove', 'Carbon monoxide alarm', 'Microwave', 'Oven', 'Kitchen', 'Iron']"
902573,"1535 7th St NW, Washington, DC 20001, USA",20001,38.91054,-77.02149,Private Room In Home,80.0,"['Hot water', 'Smoke alarm', 'Wifi', 'Hair dryer', 'Room-darkening shades', 'Hangers', 'Essentials', 'TV', 'Washer', 'Lock on bedroom door', 'Bed linens', 'Air conditioning', 'Carbon monoxide alarm', 'Shampoo', 'Kitchen', 'Exterior security cameras on property', 'Iron', 'Heating', 'Clothing storage: closet and dresser', 'Dryer']"
973608,"136 Adams St NW, Washington, DC 20001, USA",20001,38.91999,-77.01361,Private Room In Rental Unit,30.0,"['Central heating', 'Air conditioning', 'Wifi', 'Kitchen', 'Essentials']"
1628328,"New Jersey Av NW & R St NW, Washington, DC 20001, USA",20001,38.9126,-77.01748,Entire Rental Unit,150.0,"['Hot water', 'Freezer', 'Refrigerator', 'Fire extinguisher', 'Coffee maker: Keurig coffee machine', 'Smoke alarm', 'Free street parking', 'Cooking basics', '40 inch TV with Hulu, Amazon Prime Video, Disney+', 'Wifi', 'Hair dryer', 'Hangers', 'Central air conditioning', 'Laundromat nearby', 'Essentials', 'Outlet covers', 'Hot water kettle', 'Toaster', 'Smart lock', 'Long term stays allowed', 'Dishes and silverware', 'Free washer – In unit', 'Body soap', 'Dishwasher', 'Luggage dropoff allowed', 'Shower gel', 'Books and reading material', 'Extra pillows and blankets', 'Dedicated workspace', 'Free dryer – In unit', 'Bed linens', 'Pack ’n play/Travel crib', 'Carbon monoxide alarm', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Self check-in', 'Shampoo', 'Microwave', 'Oven', 'Kitchen', 'Wine glasses', 'Private entrance', 'Exercise equipment', 'Exterior security cameras on property', 'Shared patio or balcony', 'Outdoor dining area', 'Iron', 'Heating', 'Clothing storage: closet and dresser', 'Portable fans', 'Free parking on premises', 'Coffee', 'Other stainless steel electric stove', 'Conditioner', 'Cleaning products']"
