Unnamed: 0,price,full_address,zipcode,beds,baths,latitude,longitude
1,1150000,"1541 N Carolina Ave NE, Washington, DC 20002",20002,3,4,38.892773,-76.98295
2,28995000,"2400 Foxhall Rd NW, Washington, DC 20007",20007,5,9,38.92223,-77.09005
3,1195000,"5348 29th St NW, Washington, DC 20015",20015,4,4,38.96019,-77.05902
4,425900,"36 Channing St NW #A, Washington, DC 20001",20001,3,2,38.92219,-77.01049
5,325000,"4100 W W St NW #411, Washington, DC 20007",20007,2,1,38.91934,-77.08196
6,260000,"2521-2521A Minnesota Ave SE, Washington, DC 20020",20020,3,2,38.8739,-76.9695
7,600000,"1126 Montello Ave NE, Washington, DC 20002",20002,3,2,38.90352,-76.98989
9,999900,"1679 Montello Ave NE, Washington, DC 20002",20002,6,4,38.9088,-76.98572
11,116900,"505 Kennedy St NW UNIT 202, Washington, DC 20011",20011,2,1,38.95665,-77.0202
12,729500,"2415 20th St NW APT 27, Washington, DC 20009",20009,2,2,38.92175,-77.04657
14,599000,"2007 O St NW APT 105, Washington, DC 20036",20036,2,1,38.90882,-77.04546
15,724900,"213 Webster St NW, Washington, DC 20011",20011,3,2,38.94452,-77.01485
16,499000,"1507 Queen St NE, Washington, DC 20002",20002,2,2,38.90491,-76.98197
18,950000,"1008 Euclid St NW, Washington, DC 20001",20001,3,4,38.92371,-77.02595
19,1252000,"1332 Newton St NE, Washington, DC 20017",20017,5,4,38.93391,-76.98775
20,1075000,"1216 W St NW, Washington, DC 20009",20009,3,3,38.91902,-77.02891
22,724900,"241 14th Pl NE, Washington, DC 20002",20002,2,2,38.89306,-76.98431
23,175000,"3464 23rd St SE, Washington, DC 20020",20020,2,1,38.84588,-76.97144
24,1249000,"18 Quincy Pl NE, Washington, DC 20002",20002,4,4,38.91204,-77.00807
26,739900,"143 1st St S, Washington, DC 20001",20001,3,3,38.88751,-77.01216
27,199999,"1301 Delaware Ave SW APT N614, Washington, DC 20024",20024,2,2,38.8742,-77.01545
28,349000,"3018 12th St NE UNIT 1, Washington, DC 20017",20017,2,2,38.92814,-76.99084
29,860000,"88 V St SW APT 807, Washington, DC 20024",20024,1,2,38.8645,-77.01182
30,1069000,"824 Otis Pl NW, Washington, DC 20010",20010,5,5,38.93392,-77.02516
31,925000,"605 Acker Pl NE, Washington, DC 20002",20002,3,3,38.89662,-76.99799
32,1099000,"1015 Paper Mill Ct NW #1015, Washington, DC 20007",20007,3,3,38.90323,-77.06405
33,849500,"1536 1st St NW, Washington, DC 20001",20001,3,2,38.91071,-77.01239
34,324900,"1422 Shepherd St NW #1, Washington, DC 20011",20011,2,2,38.93954,-77.03383
36,675000,"2123 California St NW APT C6, Washington, DC 20008",20008,3,2,38.9168,-77.04786
37,423334,"2750 14th St NW APT 302, Washington, DC 20009",20009,2,1,38.92524,-77.03265
38,549900,"379 O St SW #T, Washington, DC 20024",20024,3,2,38.87355,-77.016685
40,1695000,"2501 M St NW APT 705, Washington, DC 20037",20037,2,3,38.90555,-77.05386
43,487300,"1657 Gales NE #1, Washington, DC 20002",20002,3,3,38.898136,-76.98016
44,1375000,"1217 N St NW #PENTHOUSE, Washington, DC 20005",20005,3,2,38.907375,-77.02892
45,589000,"1840 Biltmore St NW APT 33, Washington, DC 20009",20009,2,1,38.922,-77.04444
47,599900,"1358 Valley Pl SE, Washington, DC 20020",20020,3,3,38.86272,-76.9868
50,297700,"7175 12th St NW UNIT 414, Washington, DC 20012",20012,2,2,38.976837,-77.02767
54,150000,"2006 Fort Davis St SE APT 202, Washington, DC 20020",20020,1,1,38.86426,-76.94983
55,499000,"1623 Marion St NW, Washington, DC 20001",20001,3,1,38.91187,-77.02073
56,1400000,"5231 Watson St NW, Washington, DC 20016",20016,4,4,38.93508,-77.10918
68,519000,"1740 18th St NW APT T5, Washington, DC 20009",20009,2,2,38.91377,-77.04201
69,139000,"5106 Washington Pl NE #F-8, Washington, DC 20018",20018,2,1,38.921032,-76.994156
70,297700,"1625 Eckington Pl NE APT 512, Washington, DC 20002",20002,2,2,38.91202,-77.00361
71,114745,"1429 Girard St NW #101, Washington, DC 20009",20009,2,1,38.92561,-77.03377
77,325000,"914 52nd St NE, Washington, DC 20019",20019,3,2,38.9025,-76.92562
79,698500,"3225 Grace St NW APT 218, Washington, DC 20007",20007,2,2,38.90411,-77.06342
127,11995000,"4825 Dexter Ter NW, Washington, DC 20007",20007,8,10,38.92542,-77.0933
130,1279900,"4509 Clark Pl NW, Washington, DC 20007",20007,4,3,38.90789,-77.08697
131,15995000,"3508 Prospect St NW, Washington, DC 20007",20007,8,7,38.90575,-77.06947
132,13500000,"2815 Woodland Dr NW, Washington, DC 20008",20008,5,9,38.92112,-77.05472
144,100000,"2400 Good Hope Rd SE APT 3, Washington, DC 20020",20020,3,1,38.86314,-76.97245
145,1099900,"1007 E St SE, Washington, DC 20003",20003,4,2,38.88252,-76.99227
